Mandat,Sous-mandat,X,Y,Commune,Remarque,Info,Type 1,Type 2,Type 3
8958,_05627,2600216,1126439,Icogne,,,Infiltration,na,na
8959,_05628,2591396,1119302,Sion,,,Environnement,na,na
8960,_05629,2598480,1122220,St-Léonard,,,Géotechnique,na,na
8961,_05630,2584350,1111000,Riddes,,,Géotechnique,na,na
8962,_05631,2600268,1126450,Icogne,,,Infiltration,na,na
8963,_05632,2583162,1116692,Chamoson,,,Environnement,Polluants bâtiments,na
8964,_05633,2596379,1112932,Hérémence,,,Infiltration,na,na
8965,_05634,2590567,1117115,Nendaz,,,Infiltration,na,na
8966,_05635,2583507,1113634,Riddes,,,Polluants des bâtiments,na,na
8967,_05636,2579785,1110679,Saxon,,,Infiltration,na,na
8968,_05637,2575680,1110424,Fully,,,Infiltration,na,na
8969,_05638,2592075,1119260,Sion,,,Géotechnique,Infiltration,na
8970,_05639,2602580,1126370,Crans-Montana,,,Géotechnique,na,na
8971,_05640,2594485,1123460,Savièse,,,Géotechnique,na,na
8972,_05641,2567971,1114441,Evionnaz,,,Infiltration,na,na
8973,_05642,2596344,1122864,Grimisuat,,,Infiltration,na,na
8974,_05643,2520566,1150549,Lavigny,,,Hydrogéologie,na,na
8975,_05644,2574383,1174481,Gibloux,,EAC,Bruit,na,na
8976,_05645,2562778,1192541,Vallon,,EAC,Bruit,na,na
8977,_05646,2540183,1180914,Yverdon-les-Bains,,EAC,Bruit,na,na
8978,_05647,2570906,1162386,Bulle,,EAC,Bruit,na,na
8979,_05648,2585336,1110281,Riddes,,,Dangers naturels,na,na
8980,_05649,2567173,1190423,Belmont-Broye,,EAC,Bruit,na,na
8981,_05650,2581876,1114644,Leytron,,,Expertise,na,na
8982,_05651,2584771,1109801,Riddes,,,Dangers naturels,na,na
8983,_05652,2594289,1120989,Sion,,,Infiltration,na,na
8984,_05653,2558458,1146498,Blonay - Saint-Légier,,,Géotechnique,na,na
8985,_05654,2567916,1122084,Bex,,,Expertise,na,na
8986,_05655,2591853,1109821,Nendaz,,,Hydro   ,na,na
8987,_05656,2590360,1117365,Nendaz,,,Essais de plaque,na,na
8988,_05657,2598469,1122213,St-Léonard,,,Essais de plaque,na,na
8989,_05658,2597240,1122955,Ayent,,,Géotechnique,na,na
8990,_05659,2606235,1127981,Noble-Contrée,,,Polluants des bâtiments,na,na
8991,_05660,2571477,1174455,Gibloux,,EAC,Bruit,na,na
8992,_05661,2570752,1162564,Bulle,,EAC,Bruit,na,na
8993,_05662,2578143,1183586,Fribourg,,EAC,Bruit,na,na
8994,_05663,2536079,1167952,Goumoëns,,EAC,Bruit,na,na
8995,_05664,2603599,1128640,Crans-Montana,,,Environnement,na,na
8996,_05665,2560417,1137417,Noville,,,Environnement,na,na
8997,_05666,2580863,1115567,Leytron,,,Essais de plaque,na,na
8998,_05667,2602798,1123140,Sierre,,,Polluants des bâtiments,na,na
8999,_05668,2566574,1116115,St-Maurice,,,Dangers naturels,na,na
9000,_05669,2626514,1091285,Zermatt,,,Géologie,na,na
9001,_05670,2596335,1114827,Hérémence,,,Géotechnique,na,na
9002,_05671,2597125,1117900,Vex,,,Géotechnique,na,na
9003,_05672,,,na,France,,Hydrogéologie,na,na
9004,_05673,2536507,1177584,Ependes (VD),,EAC,Bruit,na,na
9005,_05674,2571468,1161789,Bulle,,EAC,Bruit,na,na
9006,_05675,2573996,1181406,Matran,,EAC,Bruit,na,na
9007,_05676,2606866,1126285,Sierre,,,Essais de plaque,na,na
9008,_05677,2601250,1124425,Lens,,,Géotechnique,na,na
9009,_05678,2583370,1116912,Chamoson,,,Infiltration,na,na
9010,_05679,2595960,1125358,Arbaz,,,Géotechnique,na,na
9011,_05680,2583125,1116869,Chamoson,,,Infiltration,na,na
9012,_05681,2581892,1114487,Leytron,,,Infiltration,na,na
9013,_05682,2604272,1130753,Crans-Montana,,,Bruit,na,na
9014,_05683,2603495,1108280,Evolène,,,Dangers naturels,na,na
9015,_05684,2584648,1110245,Riddes,,,Dangers naturels,na,na
9016,_05685,2604570,1106340,Evolène,,,Géotechnique,na,na
9017,_05686,2597975,1122072,Sion,,,Infiltration,na,na
9018,_05687,2558550,1144990,Montreux,,,Géotechnique,na,na
9019,_05688,2598704,1122224,St-Léonard,,,Infiltration,na,na
9020,_05689,2585570,1108667,Riddes,,,Hydrogéologie,na,na
9021,_05690,2577027,1184629,na,,,Hydrogéologie,na,na
9022,_05691,2558962,1145788,Blonay - Saint-Légier,,,Hydro   ,na,na
9023,_05692,2592760,1115745,Nendaz,,,Expertise géotechnique,na,na
9024,_05693,2574381,1097824,Orsières,,,Essais de plaque,na,na
9025,_05694,2584520,1115300,Chamoson,,,Infiltration,na,na
9026,_05695,2604459,1129213,Crans-Montana,,,Environnement,na,na
9027,_05696,2586889,1116416,Ardon,,,Environnement,na,na
9028,_05697,2598448,1121772,Sion,,,Infiltration,na,na
9029,_05698,2599377,1115920,Mont-Noble,,,Expertise géotechnique,na,na
9030,_05699,2593303,1118572,Sion,,,Expertise géotechnique,na,na
9031,_05700,2590495,1117441,Sion,,,Infiltration,Géotechnique,na
9032,_05701,2593070,1122420,Savièse,,,Géotechnique,na,na
9033,_05702,2578304,1184334,Fribourg,,EAC,Bruit,na,na
9034,_05703,,,?,?,EAC,Bruit,na,na
9035,_05704,2590080,1117046,Nendaz,,,Infiltration,na,na
9036,_05705,2600550,1123045,St-Léonard,,,PAC,na,na
9037,_05706,2587781,1117176,Vétroz,,,Infiltration,na,na
9038,_05707,2585530,1112820,Isérables,,,Géotechnique,na,na
9039,_05708,2595800,1114575,Vex,,,Géothermie,na,na
9040,_05709,2592161,1122022,Savièse,,,Bruit,na,na
9041,_05710,2583407,1106013,Val de Bagnes,,,Polluants des bâtiments,na,na
9042,_05711,2560106,1136042,Rennaz,,,Hydrogéologie,na,na
9043,_05712,2595680,1122863,Grimisuat,,,Infiltration,na,na
9044,_05713,2598828,1113403,Hérémence,,,Essais de plaque,na,na
9045,_05714,2602070,1128672,Lens,,,Essais de plaque,na,na
9046,_05715,2602254,1111286,St-Martin,,,Géothermie,na,na
9047,_05716,2597052,1123391,Ayent,,,Infiltration,na,na
9048,_05717,2583694,1101549,Val de Bagnes,,,Infiltration,na,na
9049,_05718,2580494,1111342,Saxon,,,Infiltration,na,na
9050,_05719,2575961,1108053,Martigny,,,Infiltration,na,na
9051,_05720,2583597,1113329,Riddes,,,Infiltration,na,na
9052,_05721,2590707,1117522,Sion,,,Bruit,na,na
9053,_05722,2597257,1114515,Hérémence,,,Essais de plaque,na,na
9054,_05723,2602143,1121187,Grône,,,Essais de plaque,na,na
9055,_05724,2584223,1117296,Chamoson,,,Dangers naturels,na,na
9056,_05725,2568187,1181623,na,,EAC,Bruit,na,na
9057,_05726,2576851,1174669,Treyvaux,,EAC,Bruit,na,na
9058,_05727,2605220,1103280,Evolène,,,Géotechnique,na,na
9059,_05728,2598635,1121346,Sion,,,Essais de plaque,na,na
9060,_05729,2556778,1147007,Blonay - Saint-Légier,,,Géotechnique,Hydrogéologie,na
9061,_05730,2581506,1189300,Düdingen,,EAC,Bruit,na,na
9062,_05731,2555582,1145863,Vevey,,EAC,Bruit,na,na
9063,_05732,2568060,1176166,na,,EAC,Bruit,na,na
9064,_05733,2589470,1119447,Conthey,,,Infiltration,na,na
9065,_05734,2594443,1120046,Sion,,,Polluants des bâtiments,na,na
9066,_05735,2597159,1120021,Sion,,,Infiltration,na,na
9067,_05736,2590665,1117510,Sion,,,Géotechnique,na,na
9068,_05737,2586066,1118432,Vétroz,,,Expertise géotechnique,na,na
9069,_05738,2595406,1121825,Grimisuat,,,Infiltration,na,na
